source,component,parameters
code_formula,backbone_features,927008
code_formula,pre_post_norm,2304
code_formula,experts_total,4733184
code_formula,expert_each,1183296
code_formula,linear_context_gate,8592
code_formula,classifier,182408
code_formula,total_expected,5853496
code_formula,static_uniform_control_expected,5844904
checkpoint_state,feature_extractor,939154
checkpoint_state,norms,2304
checkpoint_state,experts,4733184
checkpoint_state,gating,8592
checkpoint_state,classifier,182408
checkpoint_state,other,0
checkpoint_state,state_dict_tensor_total,5865642
