seed,model,accuracy,macro_f1,parameters
42,MoE,0.856140350877193,0.8364899347527317,3484472
42,Static-uniform 4-expert,0.8456140350877193,0.8127245002999532,5844904
42,Matched torchvision MNV3-Small,0.8210526315789474,0.7756032572572038,1526056
43,MoE,0.8771929824561403,0.8477187135591386,3484472
43,Static-uniform 4-expert,0.8491228070175438,0.8104996570870259,5844904
43,Matched torchvision MNV3-Small,0.7929824561403509,0.758558231447584,1526056
44,MoE,0.8456140350877193,0.810924856752314,3484472
44,Static-uniform 4-expert,0.8596491228070176,0.8295271483048952,5844904
44,Matched torchvision MNV3-Small,0.8526315789473684,0.8221482924347534,1526056
45,MoE,0.8666666666666667,0.8284051805659944,3484472
45,Static-uniform 4-expert,0.8280701754385965,0.7924747667732326,5844904
45,Matched torchvision MNV3-Small,0.8385964912280702,0.8010902875829528,1526056
46,MoE,0.8526315789473684,0.8142016962227139,3484472
46,Static-uniform 4-expert,0.8,0.7644651831291096,5844904
46,Matched torchvision MNV3-Small,0.8280701754385965,0.7897332976369835,1526056
