top_k,seed,accuracy,macro_f1,checkpoint
1,42,0.8315789473684211,0.7996804649769843,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_1/seed_42/run_20260915-173740/best_checkpoint.pth
1,43,0.8491228070175438,0.8016603258415851,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_1/seed_43/run_20260915-180312/best_checkpoint.pth
1,44,0.8315789473684211,0.7961134528106719,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_1/seed_44/run_20260915-182713/best_checkpoint.pth
1,45,0.8385964912280702,0.7953151376936201,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_1/seed_45/run_20260915-185845/best_checkpoint.pth
1,46,0.8035087719298246,0.7707111056634839,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_1/seed_46/run_20260915-192139/best_checkpoint.pth
2,42,0.856140350877193,0.8364899347527317,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_2/seed_42/run_20260504-171527/best_checkpoint.pth
2,43,0.8771929824561403,0.8477187135591386,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_2/seed_43/run_20260504-214159/best_checkpoint.pth
2,44,0.8456140350877193,0.810924856752314,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_2/seed_44/run_20260505-092829/best_checkpoint.pth
2,45,0.8666666666666667,0.8284051805659944,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_2/seed_45/run_20260505-103005/best_checkpoint.pth
2,46,0.8526315789473684,0.8142016962227139,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_2/seed_46/run_20260504-185812/best_checkpoint.pth
3,42,0.8315789473684211,0.7947155813192561,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_3/seed_42/run_20260915-194315/best_checkpoint.pth
3,43,0.8912280701754386,0.8667765504941675,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_3/seed_43/run_20260915-201311/best_checkpoint.pth
3,44,0.8526315789473684,0.8119623140630489,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_3/seed_44/run_20260915-210844/best_checkpoint.pth
3,45,0.8385964912280702,0.8197412951130965,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_3/seed_45/run_20260915-215304/best_checkpoint.pth
3,46,0.856140350877193,0.8281313332082607,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_3/seed_46/run_20260915-222112/best_checkpoint.pth
4,42,0.8245614035087719,0.7712859901073597,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_4/seed_42/run_20260915-224859/best_checkpoint.pth
4,43,0.8666666666666667,0.8396582818682019,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_4/seed_43/run_20260915-231138/best_checkpoint.pth
4,44,0.8701754385964913,0.8400667233257495,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_4/seed_44/run_20260915-235307/best_checkpoint.pth
4,45,0.8350877192982457,0.7987871933627002,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_4/seed_45/run_20260916-002550/best_checkpoint.pth
4,46,0.8491228070175438,0.8120133622522164,../checkpoints/plantdoc/revision_topk_linear/mobilenetv3small_moe/4_experts/top_4/seed_46/run_20260916-004946/best_checkpoint.pth
