seed,expert,global_selection_share
42,0,0.2561403512954712
42,1,0.24912281334400177
42,2,0.22631579637527466
42,3,0.2684210538864136
43,0,0.26140350103378296
43,1,0.2561403512954712
43,2,0.24210526049137115
43,3,0.2403508722782135
44,0,0.21403509378433228
44,1,0.2877193093299866
44,2,0.25789472460746765
44,3,0.2403508722782135
45,0,0.224561408162117
45,1,0.2438596487045288
45,2,0.27017542719841003
45,3,0.26140350103378296
46,0,0.2666666805744171
46,1,0.2403508722782135
46,2,0.2508772015571594
46,3,0.24210526049137115
