seed,model,accuracy,macro_f1
42,Main context-aware,0.856140350877193,0.8364899347527317
42,Zero-context trained,0.8421052631578947,0.8002501589114925
43,Main context-aware,0.8771929824561403,0.8477187135591386
43,Zero-context trained,0.8105263157894737,0.7827155643149755
44,Main context-aware,0.8456140350877193,0.810924856752314
44,Zero-context trained,0.856140350877193,0.8248288794597951
45,Main context-aware,0.8666666666666667,0.8284051805659944
45,Zero-context trained,0.8701754385964913,0.8441529371386783
46,Main context-aware,0.8526315789473684,0.8142016962227139
46,Zero-context trained,0.7859649122807018,0.7572370509563744
