num_experts,top_k,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
2,1,0.8428070175438597,0.023719921096358704,0.8062656987232302,0.026491289290190304
2,2,0.8540350877192981,0.021285264404355225,0.8254909783773172,0.021856591910055286
3,1,0.839298245614035,0.01959893339476342,0.8039018495774025,0.020073814036744207
3,2,0.8329824561403509,0.032971256030409825,0.7969962010550127,0.03913265815654033
4,1,0.8385964912280702,0.02590319835128668,0.8105844818964771,0.030281416926401544
4,2,0.8596491228070174,0.007443229275647885,0.8289774121210893,0.008190887262667465
5,1,0.8414035087719298,0.011206118893102648,0.8083528536500297,0.014772769692840701
5,2,0.8301754385964912,0.03583416542227872,0.7924828645444666,0.04380517754892789
6,1,0.8407017543859648,0.016754156331667828,0.8077731695175411,0.01825792123012742
6,2,0.8421052631578947,0.027739277720775255,0.8087216649690255,0.03512211574574589
6,3,0.8470175438596492,0.02962783415099583,0.8114202930385037,0.03136779011238356
7,1,0.8463157894736841,0.0129871968584714,0.8115181175541742,0.010226027778580669
7,2,0.8371929824561404,0.04323057636845316,0.8070995164887144,0.046154058309165615
7,3,0.8421052631578947,0.01336100544888402,0.8090752787400801,0.014983381692655532
8,1,0.839298245614035,0.013222065741345095,0.8030421332526547,0.014750509514995179
8,2,0.8456140350877194,0.005547855544155029,0.8087240661160109,0.0080942503721425
8,3,0.8238596491228071,0.04264276800679117,0.7885256965150983,0.04975905874539521
8,4,0.8414035087719298,0.02789418514294988,0.8107517937171625,0.031350244041261216
